step,total_loss,learning_rate,beats_features,whisper_features
867,1.9140625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the woe.
868,1.8779296875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", It's the head that's mancing in the wall.
869,1.603515625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", It's the head that's mancing in the wall.
870,1.6943359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", It's the head that's mancing in the wall.
871,2.123046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
872,1.5048828125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
873,1.5498046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
874,1.8203125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
875,1.951171875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mounting in the wall.
876,1.662109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mounting in the wall.
877,1.9765625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mounting in the wall.
878,1.5810546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mounting in the wall.
879,1.447265625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mounting in the wall.
880,1.900390625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mounting in the wall.
881,1.7265625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mounting in the wall.
882,1.6689453125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mounting in the wall.
883,2.0234375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mounting in the wall.
884,1.658203125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mounting in the wall.
885,1.7607421875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']"," Humans, I hate it's mancing in the wall."
886,1.5458984375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']"," Humans, I hate it's mancing in the wall."
